feature_name,mean_importance,std_importance,min_importance,max_importance,count,rank
dof_pos_R_Ankle_Pitch,0.3535466666666667,0.17889489048290028,0.145856,0.582506,3,1
projected_gravity_y,0.3458603333333334,0.12648006965614075,0.173216,0.472695,3,2
base_ang_vel_x,0.2825083333333333,0.07582090618175322,0.195553,0.380321,3,3
command_lin_vel_x,0.2703723333333334,0.08457692428526563,0.179664,0.383246,3,4
dof_vel_R_Hip_Yaw,0.266727,0.10087718533279301,0.128331,0.365912,3,5
projected_gravity_x,0.24790800000000002,0.05896112065307669,0.177975,0.322202,3,6
dof_pos_R_Hip_Pitch,0.20815933333333334,0.12746252181545586,0.108394,0.388062,3,7
dof_vel_R_Hip_Pitch,0.19842833333333332,0.01693935875081725,0.183268,0.222072,3,8
dof_pos_R_Hip_Yaw,0.18685766666666667,0.07750325741254721,0.097972,0.28684,3,9
dof_vel_R_Ankle_Pitch,0.172516,0.06772032275961676,0.08083,0.242324,3,10
base_ang_vel_y,0.167065,0.08979238303256389,0.093539,0.293491,3,11
base_ang_vel_z,0.12872166666666665,0.04989182412869756,0.092352,0.199268,3,12
dof_pos_L_Ankle_Pitch,0.127256,0.05633745633235494,0.050438,0.183971,3,13
dof_pos_L_Hip_Yaw,0.12264866666666667,0.07091051988402161,0.039636,0.21288,3,14
dof_pos_L_Hip_Pitch,0.11068933333333335,0.017605004597809365,0.095963,0.135438,3,15
dof_vel_L_Hip_Yaw,0.10680699999999999,0.01851552237088294,0.086836,0.131459,3,16
dof_vel_L_Hip_Roll,0.101838,0.009495057767070195,0.089101,0.111889,3,17
dof_R_Ankle_Pitch_action,0.10052466666666666,0.034995229220884126,0.052951,0.136125,3,18
dof_vel_L_Ankle_Pitch,0.09815666666666667,0.039233876436342886,0.048867,0.144866,3,19
command_ang_vel_z,0.09721333333333333,0.04216082344494181,0.040227,0.140896,3,20
dof_vel_L_Hip_Pitch,0.09214133333333334,0.01575135571590233,0.073975,0.112389,3,21
dof_pos_R_Hip_Roll,0.08711666666666666,0.04206458039993056,0.035261,0.138291,3,22
dof_vel_R_Hip_Roll,0.08673066666666668,0.046919891171608184,0.04508,0.15229,3,23
dof_R_Hip_Pitch_action,0.080194,0.026286260644425383,0.043886,0.105258,3,24
dof_R_Hip_Yaw_action,0.08000666666666667,0.03239302454061505,0.04544,0.123325,3,25
dof_L_Knee_Pitch_action,0.07657399999999999,0.024226234746654297,0.045364,0.104419,3,26
dof_L_Hip_Yaw_action,0.07166533333333334,0.008194335699466771,0.065649,0.083251,3,27
dof_pos_L_Hip_Roll,0.063246,0.006264421441761402,0.057786,0.072018,3,28
dof_R_Hip_Roll_action,0.060298333333333336,0.04017932935671718,0.026913,0.116811,3,29
dof_L_Hip_Pitch_action,0.056995333333333335,0.010229244297057767,0.042567,0.065117,3,30
dof_R_Knee_Pitch_action,0.055525,0.02826464615027048,0.029138,0.094721,3,31
dof_L_Ankle_Pitch_action,0.04451566666666667,0.011122483455695597,0.033539,0.059761,3,32
projected_gravity_z,0.029195,0.020963039013145654,0.009638,0.058269,3,33
dof_L_Hip_Roll_action,0.024908,0.014390861984838388,0.014005,0.045242,3,34
dof_vel_R_Knee_Pitch,0.008448333333333334,0.009572475344560686,0.000136,0.021858,3,35
dof_pos_R_Knee_Pitch,0.004593,0.0055248355631638485,0.000361,0.012397,3,36
dof_vel_L_Knee_Pitch,0.0011510000000000001,0.0002269199565191803,0.000849,0.001396,3,37
dof_pos_L_Knee_Pitch,0.0006816666666666667,6.445842760174099e-05,0.000608,0.000765,3,38
command_lin_vel_y,0.0,0.0,0.0,0.0,3,39
